frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
56,  0,  0.000,  0.02,  0, 1.67, 1.34, 0.08, 0.00, 0.06, 0.95, 0.00, 0.36, 0.18, 0.03, 0.00, 0.12, 0.00, 0.00, 0.35, 0.35, 0.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57,  0,  0.000,  0.42,  0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  0.000,  0.02,  0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
59,  0,  0.000,  0.48,  0, 0.30, 0.00, 0.00, 0.00, 0.00, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.87, 0.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
60,  0,  0.000,  0.92,  1, 0.55, 0.00, 0.41, 0.00, 0.19, 0.76, 0.00, 0.00, 0.00, 0.02, 0.00, 0.78, 0.03, 0.00, 0.19, 1.69, 0.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
61,  0,  0.000,  0.98,  1, 0.55, 0.00, 0.41, 0.00, 0.33, 1.06, 0.00, 0.40, 0.27, 0.02, 0.00, 1.30, 0.03, 0.00, 0.83, 2.04, 0.64, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
62,  0,  0.000,  0.98,  1, 0.43, 0.00, 0.41, 0.27, 0.44, 1.00, 0.06, 0.40, 0.35, 0.02, 0.24, 0.97, 0.03, 0.00, 1.34, 1.17, 0.35, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
63,  0,  0.000,  0.88,  1, 0.36, 0.00, 0.42, 0.27, 0.25, 1.54, 0.06, 0.49, 0.42, 0.14, 0.24, 0.55, 0.00, 0.00, 1.15, 0.87, 0.08, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
64,  0,  0.000,  0.98,  1, 0.97, 0.29, 0.56, 0.27, 0.11, 2.15, 0.06, 0.09, 0.15, 0.14, 0.24, 0.03, 0.00, 0.00, 0.78, 0.52, 1.10, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
65,  0,  0.000,  0.88,  1, 0.79, 0.29, 0.84, 0.00, 0.00, 2.90, 0.00, 0.09, 0.07, 0.14, 0.03, 0.38, 0.00, 0.35, 0.27, 1.11, 2.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
